ENSG,Degradation rates (min-1),R2 (quality of curve fitting),t1/2 (min),t1/2 (hours),Cv of slope
YIL019W,0.0046,0.926,151.9,2.5,3.4%
YDR216W,0.0045,0.950,152.8,2.5,4.3%
YDR326C,0.0045,0.999,152.8,2.5,0.0%
YKR071C,0.0045,0.997,153.1,2.6,0.6%
YDL067C,0.0045,1.000,153.1,2.6,0.0%
YHR001W-A,0.0045,0.999,153.3,2.6,0.1%
YER001W,0.0045,0.970,153.4,2.6,1.5%
YNL234W,0.0045,0.926,154.0,2.6,9.3%
YLR098C,0.0045,0.992,154.4,2.6,0.6%
YDR163W,0.0045,0.995,154.6,2.6,0.4%
YDR003W,0.0045,0.998,154.7,2.6,0.2%
YBR014C,0.0045,0.998,155.2,2.6,0.3%
YCR100C,0.0044,1.000,155.8,2.6,0.1%
YNR066C,0.0044,1.000,155.8,2.6,0.1%
YMR055C,0.0044,0.989,156.2,2.6,1.8%
YPL265W,0.0044,0.998,156.7,2.6,0.3%
YOL077W-A,0.0044,0.999,157.6,2.6,0.0%
YHR138C,0.0044,0.961,158.5,2.6,5.2%
YLR074C,0.0044,0.998,158.6,2.6,0.2%
YLR403W,0.0044,0.999,158.6,2.6,0.3%
YHR007C,0.0044,0.991,158.7,2.6,1.1%
YNL074C,0.0044,0.999,159.3,2.7,0.2%
YDR507C,0.0043,0.998,159.4,2.7,0.2%
YHR142W,0.0043,0.999,159.4,2.7,0.2%
YDR540C,0.0043,0.929,160.4,2.7,1276.6%
YOL002C,0.0043,0.976,161.4,2.7,3.0%
YGR060W,0.0042,0.989,163.3,2.7,1.0%
YKL198C,0.0042,0.975,163.5,2.7,2.7%
YML064C,0.0042,0.980,164.3,2.7,0.9%
YIL112W,0.0042,0.934,165.0,2.7,2.8%
YLL043W,0.0042,0.982,166.3,2.8,2.7%
YPR159W,0.0042,1.000,166.5,2.8,0.1%
YMR215W,0.0042,0.998,166.9,2.8,0.2%
YKR100C,0.0041,0.999,167.3,2.8,0.2%
YER170W,0.0041,0.951,167.8,2.8,8.0%
YOL126C,0.0041,0.996,168.0,2.8,0.6%
YHR149C,0.0041,1.000,168.0,2.8,0.1%
YNL155W,0.0041,0.999,168.7,2.8,0.1%
YFL036W,0.0041,0.983,169.4,2.8,1.0%
YBR269C,0.0041,0.998,169.8,2.8,0.2%
YDR508C,0.0041,0.998,170.2,2.8,0.2%
YDR040C,0.0041,0.998,170.2,2.8,0.2%
YFL021W,0.0041,0.998,170.3,2.8,0.1%
YFR034C,0.0040,1.000,171.7,2.9,0.0%
YJR004C,0.0040,0.994,171.9,2.9,0.8%
YHL009C,0.0040,0.998,172.1,2.9,0.3%
YOR301W,0.0040,0.965,172.3,2.9,2.5%
YLL010C,0.0040,1.000,173.1,2.9,0.1%
YDR370C,0.0040,0.992,174.4,2.9,1.1%
YEL040W,0.0039,0.998,175.5,2.9,0.3%
YGL178W,0.0039,0.947,176.8,2.9,9.0%
YHL020C,0.0039,0.998,177.5,3.0,0.3%
YLR167W,0.0039,0.996,177.8,3.0,0.5%
YPL181W,0.0039,0.999,177.9,3.0,0.2%
YER088C,0.0039,0.995,178.5,3.0,0.5%
YML007W,0.0039,0.998,178.6,3.0,0.2%
YBR179C,0.0039,0.995,178.7,3.0,0.9%
YPL193W,0.0039,0.912,178.8,3.0,8.3%
YBR073W,0.0038,0.998,180.3,3.0,0.4%
YKR052C,0.0038,0.963,180.8,3.0,3.8%
YMR042W,0.0038,1.000,181.0,3.0,0.2%
YER126C,0.0038,0.998,181.3,3.0,0.2%
YDR103W,0.0038,0.983,181.3,3.0,1.3%
YPL038W,0.0038,0.831,181.8,3.0,110.6%
YNL103W,0.0038,0.997,182.1,3.0,0.7%
YBR187W,0.0038,0.993,184.2,3.1,0.7%
YOR113W,0.0038,0.999,184.5,3.1,1.0%
YOR099W,0.0038,0.996,184.7,3.1,0.7%
YDL073W,0.0038,0.981,184.8,3.1,2.4%
YOR316C,0.0037,0.980,185.4,3.1,3.6%
YNL052W,0.0037,0.997,185.8,3.1,0.3%
YOR148C,0.0037,0.958,186.9,3.1,16.4%
YML009C,0.0037,0.994,186.9,3.1,0.8%
YGR279C,0.0037,0.989,187.3,3.1,0.7%
YHR082C,0.0037,0.999,187.9,3.1,0.1%
YNR037C,0.0037,0.992,187.9,3.1,0.7%
YGL028C,0.0037,0.998,188.5,3.1,0.2%
YIL144W,0.0037,0.998,188.6,3.1,0.2%
YDL224C,0.0037,0.998,189.2,3.2,0.3%
YOR078W,0.0037,0.999,189.8,3.2,0.2%
YBR242W,0.0036,0.996,192.1,3.2,0.6%
YGR189C,0.0036,0.993,192.4,3.2,0.6%
YLR108C,0.0036,0.964,193.1,3.2,4.3%
YJL147C,0.0036,0.917,194.6,3.2,15.9%
YDR054C,0.0035,0.999,195.5,3.3,0.3%
YOR374W,0.0035,0.934,195.7,3.3,7.1%
R0040C,0.0035,0.998,195.8,3.3,0.2%
YIL056W,0.0035,0.995,196.0,3.3,0.3%
YHR005C-A,0.0035,0.998,197.1,3.3,0.1%
YBL054W,0.0035,0.998,197.7,3.3,0.2%
YHR094C,0.0035,0.936,198.2,3.3,2.5%
YDR143C,0.0035,0.995,199.2,3.3,0.4%
YPR188C,0.0035,0.998,199.7,3.3,0.4%
YLR091W,0.0035,0.999,200.1,3.3,0.4%
YOR279C,0.0034,0.923,203.1,3.4,4.6%
YJL016W,0.0034,0.962,203.2,3.4,19.7%
YLR131C,0.0034,0.993,203.4,3.4,0.7%
YLR191W,0.0034,0.999,203.8,3.4,0.0%
YLR392C,0.0034,0.998,204.0,3.4,0.1%
YER095W,0.0034,0.999,205.7,3.4,0.1%
YPL221W,0.0033,0.980,207.1,3.5,1.1%
YGR235C,0.0033,0.999,207.8,3.5,0.0%
YDR464W,0.0033,0.984,209.2,3.5,12.2%
YGL053W,0.0033,0.997,209.2,3.5,0.5%
YLR289W,0.0033,0.997,209.5,3.5,0.9%
YER050C,0.0033,0.997,210.8,3.5,0.2%
YNL238W,0.0033,0.984,210.9,3.5,2.0%
YMR255W,0.0033,0.995,212.1,3.5,0.8%
YKL072W,0.0033,0.996,212.4,3.5,1.0%
YPL127C,0.0033,0.995,212.6,3.5,0.6%
YDR208W,0.0032,0.924,213.3,3.6,17.8%
YER077C,0.0032,0.995,214.4,3.6,0.6%
YGR032W,0.0032,0.999,214.4,3.6,0.1%
YLR342W,0.0032,0.999,214.4,3.6,0.1%
YOR373W,0.0032,0.997,214.5,3.6,0.3%
YAL044W-A,0.0032,0.988,216.6,3.6,0.9%
YOR188W,0.0032,0.997,216.8,3.6,0.1%
YDL110C,0.0032,0.865,217.0,3.6,5.3%
YCL012C,0.0032,0.998,217.7,3.6,0.6%
YHR161C,0.0032,0.988,218.1,3.6,1.1%
YPL194W,0.0032,0.996,218.9,3.6,1.7%
YLR350W,0.0032,0.998,219.3,3.7,0.3%
YMR210W,0.0032,0.999,219.6,3.7,0.2%
YGL038C,0.0031,0.997,220.7,3.7,0.4%
YGR008C,0.0031,0.973,221.2,3.7,2.4%
YLR363W-A,0.0031,0.996,221.3,3.7,0.6%
YMR295C,0.0031,0.995,221.4,3.7,0.3%
YDL045W-A,0.0031,0.978,221.5,3.7,1.6%
YOL054W,0.0031,1.000,221.5,3.7,0.1%
YBL093C,0.0031,0.994,221.7,3.7,0.8%
YGL035C,0.0031,0.998,222.8,3.7,0.3%
YBR023C,0.0031,0.995,223.0,3.7,0.9%
YPR079W,0.0031,0.986,224.0,3.7,6.9%
YNL245C,0.0031,0.998,224.6,3.7,0.2%
YOR231W,0.0031,0.999,225.8,3.8,0.3%
YDR483W,0.0031,0.999,226.5,3.8,0.1%
YKL095W,0.0031,1.000,226.5,3.8,0.0%
YGL057C,0.0030,0.997,227.7,3.8,0.3%
YDR039C,0.0030,0.996,228.0,3.8,0.7%
YHR078W,0.0030,0.999,229.2,3.8,0.4%
YHR132C,0.0030,0.984,230.0,3.8,1.9%
YPR095C,0.0030,0.999,230.5,3.8,0.3%
YOL108C,0.0030,0.998,230.6,3.8,0.3%
YLR375W,0.0030,0.999,231.3,3.9,0.0%
YLR395C,0.0030,0.999,231.6,3.9,0.1%
YGR178C,0.0030,0.996,231.7,3.9,0.5%
YFR038W,0.0030,0.996,232.3,3.9,0.4%
YLR019W,0.0030,0.993,232.7,3.9,0.5%
YIL155C,0.0030,0.959,232.8,3.9,3.8%
YER079W,0.0030,0.999,233.0,3.9,0.3%
YLR278C,0.0030,0.999,233.3,3.9,0.2%
YER075C,0.0030,0.895,234.5,3.9,3.5%
YPL274W,0.0030,0.993,234.8,3.9,0.5%
YER070W,0.0030,0.982,234.9,3.9,1.3%
YPL140C,0.0029,0.994,235.1,3.9,0.8%
YHR097C,0.0029,0.997,235.3,3.9,0.3%
YNR022C,0.0029,0.997,235.5,3.9,0.5%
YFR036W,0.0029,0.997,236.0,3.9,1.3%
YBR162C,0.0029,0.911,236.2,3.9,4.6%
YGL036W,0.0029,1.000,237.1,4.0,0.1%
YGR081C,0.0029,0.995,237.7,4.0,0.6%
YER051W,0.0029,0.997,237.8,4.0,0.4%
YGL203C,0.0029,0.997,237.8,4.0,0.4%
YPL061W,0.0029,0.961,237.9,4.0,3.3%
YKL141W,0.0029,0.998,239.7,4.0,0.4%
YDL175C,0.0029,0.996,240.1,4.0,0.5%
YKL155C,0.0029,0.961,240.6,4.0,2.1%
YGL017W,0.0029,0.948,241.3,4.0,2.7%
YML004C,0.0029,0.998,242.7,4.0,0.1%
YGR280C,0.0029,0.996,243.1,4.1,0.4%
YIL131C,0.0028,0.996,244.0,4.1,0.7%
YKL022C,0.0028,0.995,245.6,4.1,0.4%
YJR140C,0.0028,0.993,245.9,4.1,0.8%
YIR014W,0.0028,0.985,245.9,4.1,0.2%
YOL045W,0.0028,0.910,246.8,4.1,2.7%
YML093W,0.0028,0.994,247.3,4.1,0.9%
YML128C,0.0028,0.937,248.1,4.1,6.2%
YMR147W,0.0028,0.982,248.1,4.1,3.8%
YIL127C,0.0028,0.997,248.1,4.1,0.4%
YGR136W,0.0028,0.995,249.0,4.1,0.7%
YPR011C,0.0028,0.998,249.7,4.2,1.3%
YKR089C,0.0028,0.992,250.0,4.2,1.0%
YCR026C,0.0028,0.986,250.2,4.2,2.0%
YOR075W,0.0028,0.998,250.5,4.2,0.2%
