ENSG,Degradation rates (min-1),R2 (quality of curve fitting),t1/2 (min),t1/2 (hours),Cv of slope
YML029W,0.0017,0.998,400.5,6.7,0.2%
YJL036W,0.0017,0.906,400.5,6.7,1.8%
YLR051C,0.0017,0.994,400.6,6.7,0.1%
YDR330W,0.0017,0.999,400.8,6.7,0.1%
YOR297C,0.0017,0.996,401.0,6.7,0.3%
YCR015C,0.0017,0.999,401.2,6.7,0.1%
YDL189W,0.0017,0.996,401.6,6.7,0.4%
YLR310C,0.0017,0.997,401.7,6.7,0.2%
YDL101C,0.0017,0.996,401.7,6.7,0.2%
YGL171W,0.0017,0.996,402.0,6.7,0.2%
YOL141W,0.0017,0.925,402.1,6.7,2.8%
YHR005C,0.0017,1.000,402.1,6.7,0.0%
YPR035W,0.0017,0.997,402.2,6.7,0.1%
YML067C,0.0017,0.997,402.4,6.7,0.3%
YOR017W,0.0017,0.994,402.5,6.7,0.7%
YGL153W,0.0017,0.997,402.8,6.7,0.3%
YCR047C,0.0017,0.994,403.0,6.7,0.5%
YML032C,0.0017,0.999,403.0,6.7,0.0%
YEL050C,0.0017,0.999,403.1,6.7,0.1%
YER048W-A,0.0017,0.998,403.3,6.7,0.2%
YAL034W-A,0.0017,0.999,403.6,6.7,0.1%
YPL254W,0.0017,0.999,403.6,6.7,0.1%
YOR207C,0.0017,0.999,403.8,6.7,0.1%
YGL254W,0.0017,0.995,404.0,6.7,0.3%
YPL069C,0.0017,0.991,404.0,6.7,1.5%
YJL030W,0.0017,0.998,404.0,6.7,0.1%
YPL170W,0.0017,0.970,404.2,6.7,4.9%
YJR149W,0.0017,0.995,405.0,6.8,1.5%
YBR172C,0.0017,0.998,405.1,6.8,0.2%
YBL091C-A,0.0017,0.996,405.2,6.8,0.6%
YOR110W,0.0017,0.992,405.6,6.8,0.9%
YOR321W,0.0017,0.987,405.6,6.8,1.3%
YFR019W,0.0017,0.990,406.0,6.8,1.2%
YBR291C,0.0017,0.993,406.8,6.8,2.0%
YDR005C,0.0017,0.998,407.2,6.8,0.2%
YKL048C,0.0017,0.996,407.3,6.8,0.6%
YGR002C,0.0017,0.991,407.7,6.8,0.5%
YDR322C-A,0.0017,1.000,407.7,6.8,0.0%
YKR067W,0.0017,0.999,407.9,6.8,0.1%
YOL068C,0.0017,0.990,408.1,6.8,1.4%
YAL024C,0.0017,0.993,408.2,6.8,0.7%
YLR393W,0.0017,1.000,408.5,6.8,0.0%
YOR341W,0.0017,0.998,408.7,6.8,0.1%
YER155C,0.0017,0.996,409.0,6.8,0.5%
YOR246C,0.0017,0.968,409.2,6.8,1.5%
YGR244C,0.0017,0.998,409.5,6.8,0.1%
YKR014C,0.0017,0.997,409.6,6.8,0.3%
YOR205C,0.0017,0.991,410.0,6.8,1.8%
YPR047W,0.0017,0.987,410.1,6.8,0.6%
YJL019W,0.0017,0.997,410.1,6.8,0.2%
YGL025C,0.0017,0.997,410.2,6.8,0.3%
YCR075C,0.0017,0.999,410.3,6.8,0.2%
YGL150C,0.0017,0.991,410.3,6.8,0.4%
YBL030C,0.0017,0.998,410.5,6.8,0.2%
YMR227C,0.0017,0.996,410.5,6.8,0.4%
YCR086W,0.0017,0.998,410.6,6.8,0.2%
YGR150C,0.0017,0.996,410.7,6.8,1.1%
YIL149C,0.0017,0.838,410.8,6.8,3.1%
YOR091W,0.0017,0.996,411.0,6.9,0.3%
YMR311C,0.0017,0.999,411.3,6.9,0.1%
YJR062C,0.0017,0.994,412.1,6.9,0.7%
YDL104C,0.0017,0.987,412.1,6.9,2.6%
YMR172W,0.0017,0.999,412.1,6.9,0.1%
YNL218W,0.0017,1.000,412.2,6.9,0.0%
YOR370C,0.0017,0.996,412.3,6.9,0.4%
YLR020C,0.0017,0.993,412.3,6.9,0.6%
YMR213W,0.0017,0.995,412.3,6.9,0.4%
YBL046W,0.0017,0.998,412.4,6.9,0.2%
YDL167C,0.0017,0.999,412.4,6.9,0.1%
YDR397C,0.0017,0.999,412.6,6.9,0.1%
YBR223C,0.0017,1.000,412.6,6.9,0.0%
YNR015W,0.0017,0.991,412.8,6.9,1.2%
YBR015C,0.0017,0.996,413.4,6.9,0.3%
YPR020W,0.0017,0.993,413.5,6.9,0.8%
YDR379W,0.0017,0.957,413.6,6.9,3.8%
YPL215W,0.0017,0.997,413.7,6.9,0.3%
YOR213C,0.0017,1.000,413.8,6.9,0.3%
YCR083W,0.0017,0.999,413.9,6.9,0.1%
YGL181W,0.0017,0.999,414.3,6.9,0.0%
YMR117C,0.0017,0.994,414.4,6.9,0.6%
YGL144C,0.0017,0.984,414.5,6.9,1.0%
YPL023C,0.0017,0.986,414.8,6.9,1.2%
YNL090W,0.0017,0.996,415.0,6.9,0.4%
YPR098C,0.0017,0.999,415.3,6.9,0.1%
YHL029C,0.0017,0.999,415.4,6.9,0.1%
YML046W,0.0017,0.999,415.4,6.9,0.1%
YAL001C,0.0017,0.999,415.6,6.9,0.3%
YMR083W,0.0017,0.993,415.8,6.9,0.6%
YIR038C,0.0017,0.999,415.9,6.9,0.1%
YNL091W,0.0017,0.783,416.2,6.9,4.3%
YDR194C,0.0017,0.997,416.3,6.9,0.3%
YBL080C,0.0017,0.930,416.3,6.9,4.4%
YPL049C,0.0017,0.982,416.3,6.9,0.7%
YMR059W,0.0017,0.993,416.5,6.9,0.6%
YOR163W,0.0017,0.990,417.0,7.0,0.8%
YDR296W,0.0017,0.990,417.3,7.0,1.0%
YDL160C-A,0.0017,0.999,417.6,7.0,0.1%
YER159C,0.0017,0.998,417.9,7.0,0.2%
YNL002C,0.0017,0.997,417.9,7.0,0.1%
YMR282C,0.0017,0.999,418.0,7.0,0.1%
YGR091W,0.0017,0.998,418.3,7.0,0.3%
YDR153C,0.0017,0.989,418.6,7.0,0.4%
YJR002W,0.0017,0.999,418.7,7.0,0.1%
YKR010C,0.0017,0.993,418.9,7.0,0.7%
YPL016W,0.0017,0.996,418.9,7.0,2.6%
YCL059C,0.0017,0.997,419.0,7.0,0.2%
YGL061C,0.0017,0.990,419.2,7.0,0.4%
YER061C,0.0017,0.997,419.4,7.0,0.4%
YBR230C,0.0017,0.994,419.5,7.0,0.2%
YPR173C,0.0017,0.999,419.9,7.0,0.1%
YPL013C,0.0017,0.997,420.0,7.0,0.1%
YNL151C,0.0017,0.997,420.1,7.0,0.2%
YGR222W,0.0016,0.998,420.2,7.0,0.3%
YDL090C,0.0016,0.999,420.5,7.0,0.1%
YCR087C-A,0.0016,0.998,420.6,7.0,0.1%
YOR101W,0.0016,0.998,420.8,7.0,0.2%
YBR058C-A,0.0016,0.998,421.0,7.0,0.2%
YNL148C,0.0016,0.996,421.1,7.0,0.5%
YDL220C,0.0016,0.997,421.2,7.0,0.5%
YDR412W,0.0016,0.994,421.2,7.0,0.7%
YHR110W,0.0016,0.998,421.5,7.0,0.1%
YOR111W,0.0016,0.994,421.6,7.0,0.8%
YPR088C,0.0016,0.997,421.7,7.0,0.3%
YLR093C,0.0016,0.997,421.7,7.0,0.3%
YKL063C,0.0016,0.814,421.9,7.0,3.6%
YNL215W,0.0016,0.984,421.9,7.0,0.7%
YFR005C,0.0016,0.994,422.0,7.0,0.5%
YPR032W,0.0016,0.988,422.3,7.0,0.8%
YIL157C,0.0016,0.997,422.3,7.0,0.7%
YLR083C,0.0016,0.993,422.4,7.0,0.5%
YLL009C,0.0016,0.992,422.4,7.0,3.8%
YJL097W,0.0016,0.734,422.6,7.0,2.2%
YPR048W,0.0016,0.998,422.8,7.0,0.2%
YBL006C,0.0016,0.654,422.8,7.0,8.1%
YDR119W,0.0016,0.997,422.9,7.0,0.3%
YPR057W,0.0016,0.999,422.9,7.0,0.1%
YGR237C,0.0016,0.938,422.9,7.0,1.9%
YOR336W,0.0016,1.000,423.0,7.1,0.0%
YAL044C,0.0016,1.000,423.0,7.1,0.0%
YOR118W,0.0016,0.997,423.5,7.1,0.3%
YML098W,0.0016,0.852,423.5,7.1,3.2%
YNR012W,0.0016,0.992,423.6,7.1,1.3%
YGR271C-A,0.0016,0.997,423.7,7.1,0.3%
YDR359C,0.0016,0.994,424.0,7.1,0.8%
YDL019C,0.0016,0.998,424.2,7.1,0.2%
YMR281W,0.0016,0.998,424.2,7.1,0.2%
YDR465C,0.0016,0.998,424.5,7.1,0.1%
YPL180W,0.0016,0.997,424.6,7.1,0.3%
YDL046W,0.0016,0.999,424.7,7.1,0.1%
YMR318C,0.0016,0.997,424.7,7.1,0.1%
YDL098C,0.0016,0.902,424.8,7.1,1.9%
YNL023C,0.0016,0.993,424.8,7.1,1.5%
YBR152W,0.0016,0.998,424.9,7.1,0.3%
YHR182W,0.0016,0.986,425.3,7.1,1.7%
YAL022C,0.0016,0.996,425.5,7.1,0.5%
YGR038W,0.0016,0.998,425.6,7.1,0.2%
YPR156C,0.0016,0.996,425.6,7.1,0.3%
YGR231C,0.0016,0.997,426.1,7.1,0.4%
YNL191W,0.0016,0.994,426.3,7.1,0.5%
YML034W,0.0016,0.984,426.3,7.1,2.6%
YBR205W,0.0016,0.998,426.4,7.1,0.2%
YOL083W,0.0016,0.992,426.5,7.1,0.6%
YNR008W,0.0016,0.999,427.0,7.1,0.2%
YOR103C,0.0016,0.887,427.0,7.1,6.6%
YPR115W,0.0016,0.999,427.1,7.1,0.0%
YJL081C,0.0016,0.994,427.2,7.1,0.8%
YHR081W,0.0016,0.999,427.4,7.1,0.1%
YMR266W,0.0016,0.998,427.4,7.1,0.1%
YPL112C,0.0016,0.997,427.4,7.1,0.3%
YPR086W,0.0016,0.996,427.9,7.1,0.4%
YGR255C,0.0016,0.999,428.4,7.1,0.1%
YJR124C,0.0016,0.977,428.5,7.1,3.3%
YFL044C,0.0016,0.999,428.6,7.1,0.0%
YML117W,0.0016,0.996,428.6,7.1,0.4%
YKL014C,0.0016,0.999,428.7,7.1,0.1%
YKL143W,0.0016,0.997,429.0,7.1,0.2%
YEL046C,0.0016,0.997,429.4,7.2,0.3%
YDR337W,0.0016,0.998,429.5,7.2,0.2%
YDR272W,0.0016,0.997,429.7,7.2,0.3%
YJL033W,0.0016,0.998,429.7,7.2,0.1%
YOL033W,0.0016,0.996,429.9,7.2,0.3%
YDR288W,0.0016,0.697,430.0,7.2,8.1%
YOR150W,0.0016,0.993,430.1,7.2,0.2%
YER006W,0.0016,0.998,430.3,7.2,0.1%
YDL063C,0.0016,0.996,430.4,7.2,0.2%
YBL035C,0.0016,0.991,431.3,7.2,0.7%
YML052W,0.0016,0.995,431.6,7.2,0.4%
YKR036C,0.0016,0.998,431.6,7.2,0.4%
YFL048C,0.0016,0.999,432.5,7.2,0.1%
YNL317W,0.0016,0.975,432.5,7.2,2.1%
YLR245C,0.0016,0.997,432.6,7.2,0.1%
YAL058W,0.0016,0.947,432.8,7.2,2.5%
YDR237W,0.0016,0.992,433.1,7.2,1.1%
YMR111C,0.0016,1.000,433.1,7.2,0.1%
YPR107C,0.0016,1.000,433.6,7.2,0.0%
YDL153C,0.0016,0.999,433.7,7.2,0.1%
YPL059W,0.0016,0.996,433.7,7.2,0.4%
YPR062W,0.0016,0.997,434.0,7.2,0.3%
YMR284W,0.0016,0.999,434.1,7.2,0.1%
YNR003C,0.0016,0.997,434.2,7.2,0.2%
YNL088W,0.0016,0.996,434.2,7.2,0.2%
YML080W,0.0016,0.998,434.5,7.2,0.2%
YMR123W,0.0016,0.963,434.7,7.2,1.6%
YDR298C,0.0016,0.999,434.9,7.2,0.1%
YIL107C,0.0016,0.995,435.4,7.3,1.7%
YOR179C,0.0016,0.994,435.4,7.3,0.8%
YPL228W,0.0016,0.994,435.5,7.3,0.6%
YBR029C,0.0016,0.999,435.8,7.3,0.1%
YDL076C,0.0016,0.997,436.4,7.3,0.2%
YPR033C,0.0016,0.997,436.5,7.3,0.1%
YKL059C,0.0016,0.997,436.6,7.3,0.4%
YDR391C,0.0016,0.991,437.4,7.3,0.5%
YNL251C,0.0016,0.999,437.5,7.3,0.1%
YLR348C,0.0016,0.993,437.6,7.3,0.5%
YMR102C,0.0016,0.965,437.7,7.3,2.3%
YNL320W,0.0016,0.998,437.7,7.3,0.1%
YBR006W,0.0016,0.846,437.8,7.3,6.6%
YCR004C,0.0016,0.999,438.3,7.3,0.1%
YMR231W,0.0016,0.991,438.4,7.3,1.2%
YGL064C,0.0016,0.995,438.7,7.3,0.7%
YJL126W,0.0016,0.998,439.0,7.3,0.2%
YMR135C,0.0016,0.918,439.5,7.3,2.2%
YER058W,0.0016,0.996,439.6,7.3,0.9%
YPR083W,0.0016,0.994,439.8,7.3,0.6%
YGL095C,0.0016,0.997,439.9,7.3,0.3%
YGR057C,0.0016,0.988,440.2,7.3,0.9%
YER034W,0.0016,0.998,440.2,7.3,0.1%
YCL044C,0.0016,0.999,440.4,7.3,0.2%
YGR033C,0.0016,0.999,440.4,7.3,0.0%
YJL112W,0.0016,0.994,440.4,7.3,0.6%
YAL019W,0.0016,0.988,440.5,7.3,0.5%
YJR063W,0.0016,0.998,440.8,7.3,0.2%
YGR047C,0.0016,0.996,440.9,7.3,0.5%
YHR154W,0.0016,0.965,441.1,7.4,1.4%
YLR015W,0.0016,0.998,441.1,7.4,0.3%
YIL044C,0.0016,0.998,441.1,7.4,0.1%
YJL201W,0.0016,0.997,441.4,7.4,0.1%
YOL158C,0.0016,0.990,441.4,7.4,1.3%
YGR186W,0.0016,0.998,441.5,7.4,0.2%
YPR186C,0.0016,0.996,441.5,7.4,0.1%
YPL110C,0.0016,0.991,441.5,7.4,1.2%
YGR275W,0.0016,0.999,441.6,7.4,0.1%
YOR371C,0.0016,0.990,441.7,7.4,1.1%
YNL280C,0.0016,0.985,441.8,7.4,0.9%
YGR126W,0.0016,0.999,441.8,7.4,0.2%
YLR455W,0.0016,0.997,442.4,7.4,0.3%
YGR287C,0.0016,0.993,442.6,7.4,1.0%
YDR228C,0.0016,0.996,443.0,7.4,0.3%
YNL183C,0.0016,0.997,443.3,7.4,0.4%
YPR101W,0.0016,0.988,443.4,7.4,0.6%
YMR134W,0.0016,0.992,443.7,7.4,0.7%
YAL041W,0.0016,0.996,443.7,7.4,0.4%
YLR045C,0.0016,0.997,443.8,7.4,0.3%
YCL024W,0.0016,0.995,443.9,7.4,0.5%
YPL141C,0.0016,0.979,444.0,7.4,18.9%
YLR175W,0.0016,0.997,444.1,7.4,0.3%
YHR037W,0.0016,0.999,444.2,7.4,0.1%
YDR028C,0.0016,0.997,444.3,7.4,0.2%
YGL197W,0.0016,0.987,444.6,7.4,0.3%
YBR010W,0.0016,0.998,444.8,7.4,0.2%
YNL031C,0.0016,0.998,444.8,7.4,0.2%
YER047C,0.0016,0.998,444.8,7.4,0.1%
YDR503C,0.0016,0.824,444.9,7.4,4.2%
YOL005C,0.0016,0.996,445.0,7.4,0.4%
YNL119W,0.0016,0.998,445.1,7.4,0.1%
YJR024C,0.0016,0.968,445.2,7.4,1.4%
YFL002C,0.0016,0.998,445.4,7.4,0.1%
YKL166C,0.0016,0.994,445.4,7.4,0.7%
YMR216C,0.0016,0.996,445.6,7.4,0.5%
YMR290C,0.0016,0.997,445.6,7.4,0.2%
YML010W,0.0016,0.997,445.7,7.4,0.3%
YLR424W,0.0016,0.990,445.8,7.4,1.1%
YGR075C,0.0016,1.000,446.3,7.4,0.0%
YKL100C,0.0016,0.998,446.4,7.4,0.1%
YOR212W,0.0016,0.998,446.5,7.4,0.2%
YLR203C,0.0016,0.994,446.5,7.4,0.6%
YLR244C,0.0016,0.996,446.6,7.4,0.4%
YDR056C,0.0016,0.993,446.6,7.4,0.6%
YBL051C,0.0016,0.998,446.8,7.4,0.2%
YLR362W,0.0016,0.889,446.9,7.4,2.0%
YOL065C,0.0016,0.989,447.0,7.5,0.8%
YKL168C,0.0016,0.999,447.2,7.5,0.1%
YLR309C,0.0015,0.999,447.2,7.5,0.1%
YDL203C,0.0015,0.991,447.3,7.5,0.7%
YDR409W,0.0015,0.978,447.6,7.5,5.0%
YNL273W,0.0015,0.990,447.7,7.5,1.5%
YJL044C,0.0015,0.996,447.8,7.5,0.4%
YGR229C,0.0015,0.997,448.0,7.5,0.3%
YHR011W,0.0015,0.993,448.0,7.5,0.9%
YKR056W,0.0015,0.996,448.0,7.5,0.3%
YKL079W,0.0015,0.995,448.2,7.5,0.6%
YNL261W,0.0015,0.999,448.2,7.5,0.1%
YER078C,0.0015,0.998,448.3,7.5,0.2%
YDR036C,0.0015,0.998,448.3,7.5,0.2%
YML015C,0.0015,0.996,448.4,7.5,0.4%
YDR468C,0.0015,0.999,448.4,7.5,0.1%
YDL087C,0.0015,0.999,448.6,7.5,0.1%
YMR197C,0.0015,1.000,448.9,7.5,0.0%
YER067W,0.0015,0.993,449.2,7.5,0.5%
YHR159W,0.0015,0.999,449.5,7.5,0.2%
YAL042W,0.0015,0.998,449.6,7.5,0.2%
YMR212C,0.0015,0.865,449.6,7.5,5.5%
YBR136W,0.0015,0.976,449.6,7.5,4.6%
YNL022C,0.0015,0.722,449.7,7.5,6.1%
YCL001W,0.0015,0.996,449.8,7.5,0.3%
YDR443C,0.0015,0.998,449.8,7.5,0.1%
YOR090C,0.0015,0.998,449.9,7.5,0.2%
YKL058W,0.0015,0.999,450.0,7.5,0.1%
YNL112W,0.0015,0.999,450.0,7.5,0.1%
YML096W,0.0015,0.987,450.1,7.5,1.7%
YJR066W,0.0015,0.991,450.4,7.5,0.8%
YDR083W,0.0015,0.999,450.4,7.5,0.0%
YER091C,0.0015,1.000,450.7,7.5,0.0%
YCL014W,0.0015,0.989,450.7,7.5,0.7%
YDL159W,0.0015,0.947,451.2,7.5,4.4%
YMR022W,0.0015,0.995,451.3,7.5,0.6%
YJL084C,0.0015,1.000,451.4,7.5,0.1%
YOR164C,0.0015,0.996,451.6,7.5,0.4%
YOL102C,0.0015,0.996,451.6,7.5,0.3%
YBR049C,0.0015,0.996,451.8,7.5,0.4%
YHR017W,0.0015,0.939,452.0,7.5,2.3%
YOL018C,0.0015,1.000,452.3,7.5,0.0%
YIL129C,0.0015,0.999,452.4,7.5,0.1%
YER172C,0.0015,0.998,452.5,7.5,0.2%
YHR053C,0.0015,0.978,452.6,7.5,2.2%
YHR055C,0.0015,0.978,452.6,7.5,2.2%
YNL271C,0.0015,0.865,452.7,7.5,3.3%
YGR157W,0.0015,0.997,452.7,7.5,0.2%
YIL104C,0.0015,0.998,452.8,7.5,0.2%
YFL010C,0.0015,0.997,452.8,7.5,0.3%
YIL097W,0.0015,0.973,453.0,7.5,1.5%
YMR237W,0.0015,0.992,453.0,7.5,0.7%
YDR173C,0.0015,0.994,453.0,7.5,0.7%
YGR013W,0.0015,0.997,453.1,7.6,0.2%
YKL197C,0.0015,0.999,453.1,7.6,0.1%
YLR008C,0.0015,0.996,453.4,7.6,0.4%
YJR010C-A,0.0015,0.994,453.6,7.6,0.7%
YGR266W,0.0015,0.999,453.6,7.6,0.0%
YAR002W,0.0015,0.998,453.9,7.6,0.1%
YLR166C,0.0015,0.997,454.0,7.6,0.2%
YJR133W,0.0015,0.998,454.5,7.6,0.3%
YDR513W,0.0015,0.995,454.7,7.6,0.2%
YGR120C,0.0015,1.000,454.7,7.6,0.0%
YJR080C,0.0015,0.999,454.7,7.6,0.1%
YFL027C,0.0015,0.906,454.8,7.6,2.5%
YJL002C,0.0015,0.997,454.9,7.6,0.2%
YBL011W,0.0015,0.989,455.1,7.6,0.9%
YKL214C,0.0015,0.997,455.1,7.6,0.2%
YKL150W,0.0015,0.999,455.6,7.6,0.0%
YDR179C,0.0015,0.997,455.9,7.6,0.5%
YNL265C,0.0015,0.994,455.9,7.6,0.6%
YHR083W,0.0015,0.999,455.9,7.6,0.1%
YBR215W,0.0015,0.999,456.0,7.6,0.1%
YML062C,0.0015,0.999,456.1,7.6,0.1%
YNL139C,0.0015,0.994,456.4,7.6,0.2%
YGR009C,0.0015,0.997,456.6,7.6,0.4%
YGR257C,0.0015,0.994,456.8,7.6,0.9%
YBL101C,0.0015,0.999,457.0,7.6,0.1%
YOR035C,0.0015,0.997,457.2,7.6,0.4%
YLR063W,0.0015,0.996,457.3,7.6,0.5%
YDL031W,0.0015,0.998,458.1,7.6,0.2%
YCR019W,0.0015,0.996,458.1,7.6,0.8%
YLL008W,0.0015,0.998,458.2,7.6,0.1%
YFR041C,0.0015,0.982,458.2,7.6,0.6%
YPL198W,0.0015,0.989,458.2,7.6,0.6%
YBR046C,0.0015,0.993,458.3,7.6,0.3%
YHR102W,0.0015,0.994,458.5,7.6,0.7%
YNL154C,0.0015,0.998,458.5,7.6,0.1%
YOL089C,0.0015,0.998,458.5,7.6,0.1%
YGR207C,0.0015,0.998,458.5,7.6,0.2%
YGR252W,0.0015,0.992,458.6,7.6,1.0%
YMR140W,0.0015,0.999,458.6,7.6,0.1%
YJL131C,0.0015,0.996,458.7,7.6,0.6%
YPR128C,0.0015,0.994,459.0,7.7,0.6%
YLR260W,0.0015,0.998,459.2,7.7,0.1%
YDL115C,0.0015,0.998,459.2,7.7,0.2%
YPL219W,0.0015,0.989,459.3,7.7,0.5%
YBR227C,0.0015,0.997,459.4,7.7,0.3%
YER027C,0.0015,0.999,459.6,7.7,0.0%
YDL237W,0.0015,0.997,459.6,7.7,0.3%
YJR086W,0.0015,0.999,459.7,7.7,0.1%
YJR138W,0.0015,0.999,459.9,7.7,0.1%
YJR125C,0.0015,0.998,460.1,7.7,0.1%
YBR003W,0.0015,1.000,460.2,7.7,0.0%
YDR183W,0.0015,0.997,460.4,7.7,0.3%
YBR177C,0.0015,0.997,460.7,7.7,0.3%
YOL072W,0.0015,0.998,460.8,7.7,0.1%
YOR354C,0.0015,0.997,460.8,7.7,0.3%
YDL089W,0.0015,0.999,460.8,7.7,0.1%
YOR217W,0.0015,0.998,461.0,7.7,0.1%
YLR277C,0.0015,0.996,461.0,7.7,0.4%
YBR089C-A,0.0015,0.999,461.1,7.7,0.1%
YDR334W,0.0015,0.883,461.2,7.7,6.4%
YJL172W,0.0015,1.000,461.3,7.7,0.0%
YNL252C,0.0015,0.998,461.4,7.7,0.2%
YNL175C,0.0015,0.997,461.5,7.7,0.2%
YKL010C,0.0015,0.998,461.6,7.7,0.2%
YGR205W,0.0015,0.955,461.8,7.7,2.0%
YOR347C,0.0015,0.996,461.9,7.7,0.6%
YNL250W,0.0015,0.994,462.0,7.7,0.6%
YKR003W,0.0015,0.999,462.1,7.7,0.1%
YBL103C,0.0015,0.997,462.2,7.7,0.3%
YKR083C,0.0015,0.996,462.3,7.7,0.4%
YDR316W,0.0015,0.990,462.5,7.7,0.8%
YKR035W-A,0.0015,0.998,462.6,7.7,0.2%
YOR245C,0.0015,1.000,462.7,7.7,0.0%
YPR093C,0.0015,1.000,462.7,7.7,0.0%
YGR169C-A,0.0015,0.992,462.7,7.7,0.8%
YOL053W,0.0015,0.994,462.9,7.7,0.9%
YER007W,0.0015,0.949,463.1,7.7,8.8%
YDL072C,0.0015,0.998,463.4,7.7,0.2%
YMR060C,0.0015,0.996,463.5,7.7,0.6%
YOR267C,0.0015,0.998,463.6,7.7,0.1%
YNL051W,0.0015,0.996,463.7,7.7,0.3%
YBR273C,0.0015,0.999,463.8,7.7,0.0%
YFL046W,0.0015,1.000,463.8,7.7,0.0%
YMR089C,0.0015,0.997,464.1,7.7,0.3%
YDR353W,0.0015,0.990,464.1,7.7,0.5%
YDR097C,0.0015,0.996,464.1,7.7,0.3%
YNL168C,0.0015,0.980,464.2,7.7,1.2%
YLR116W,0.0015,0.998,464.3,7.7,0.3%
YDR110W,0.0015,0.993,464.4,7.7,0.8%
YML108W,0.0015,0.999,464.5,7.7,0.1%
YJL026W,0.0015,0.997,464.9,7.7,0.2%
YOR317W,0.0015,0.999,465.0,7.8,0.1%
YPR008W,0.0015,0.999,465.2,7.8,0.0%
YER125W,0.0015,0.997,465.3,7.8,0.3%
YHR008C,0.0015,0.997,465.3,7.8,0.1%
YNL131W,0.0015,0.997,465.9,7.8,0.3%
YJL039C,0.0015,0.998,466.0,7.8,0.1%
YDL164C,0.0015,0.995,466.1,7.8,0.5%
YBR251W,0.0015,0.994,466.3,7.8,0.6%
YPR067W,0.0015,0.998,466.4,7.8,0.3%
YDL056W,0.0015,0.998,466.4,7.8,0.1%
YPL153C,0.0015,0.995,466.6,7.8,0.4%
YGL101W,0.0015,0.996,466.7,7.8,0.1%
YAL015C,0.0015,0.997,467.0,7.8,0.3%
YMR283C,0.0015,0.863,467.2,7.8,6.3%
YDR266C,0.0015,0.997,467.4,7.8,0.2%
YOR106W,0.0015,0.981,467.6,7.8,3.1%
YDR177W,0.0015,0.996,467.7,7.8,0.3%
YJR054W,0.0015,0.998,467.7,7.8,0.1%
YGL223C,0.0015,0.992,467.8,7.8,1.2%
YMR293C,0.0015,1.000,467.8,7.8,0.0%
YEL062W,0.0015,0.996,467.8,7.8,0.6%
YDL150W,0.0015,0.998,467.8,7.8,0.1%
YBR200W,0.0015,0.998,468.5,7.8,0.1%
YBR102C,0.0015,0.989,468.5,7.8,1.1%
YFL047W,0.0015,0.997,468.5,7.8,0.3%
YPL151C,0.0015,0.981,468.8,7.8,0.9%
YLR276C,0.0015,0.998,469.1,7.8,0.1%
YNL035C,0.0015,0.989,469.2,7.8,1.3%
YDR466W,0.0015,0.999,469.7,7.8,0.2%
YML039W,0.0015,0.996,469.8,7.8,0.2%
YNL229C,0.0015,0.996,469.9,7.8,0.9%
YKR060W,0.0015,0.996,469.9,7.8,0.3%
YJL184W,0.0015,0.996,470.0,7.8,0.3%
YDR202C,0.0015,0.993,470.4,7.8,0.5%
YDR499W,0.0015,0.966,470.4,7.8,1.5%
YKL040C,0.0015,0.996,470.5,7.8,0.4%
YDL213C,0.0015,0.998,470.5,7.8,0.2%
YKL151C,0.0015,0.997,470.5,7.8,0.1%
YJL130C,0.0015,0.999,470.8,7.8,0.0%
YEL066W,0.0015,0.996,470.8,7.8,0.4%
YMR054W,0.0015,0.989,470.9,7.8,1.0%
YEL001C,0.0015,0.996,470.9,7.8,0.2%
YKR066C,0.0015,0.999,471.1,7.9,0.1%
YIL126W,0.0015,0.997,471.4,7.9,0.3%
YNL136W,0.0015,0.992,471.4,7.9,1.2%
YJR077C,0.0015,0.997,471.4,7.9,0.2%
YJR042W,0.0015,0.995,471.5,7.9,0.5%
YLR026C,0.0015,0.996,471.9,7.9,0.4%
YHR065C,0.0015,0.995,472.3,7.9,0.3%
YLR360W,0.0015,0.999,472.7,7.9,0.1%
YDR457W,0.0015,0.992,472.8,7.9,0.5%
YFR030W,0.0015,0.988,472.8,7.9,0.7%
YNL127W,0.0015,0.997,472.9,7.9,0.3%
YJL192C,0.0015,0.999,473.1,7.9,0.1%
YJL082W,0.0015,0.994,473.2,7.9,0.5%
YCL034W,0.0015,0.999,473.3,7.9,0.0%
YLR052W,0.0015,0.863,473.4,7.9,3.1%
YNR006W,0.0015,1.000,473.4,7.9,0.1%
YJL176C,0.0015,0.996,473.4,7.9,0.4%
YMR115W,0.0015,0.987,473.5,7.9,0.7%
YGR220C,0.0015,0.995,473.8,7.9,0.1%
YDR140W,0.0015,0.999,473.8,7.9,0.2%
YKR070W,0.0015,0.921,473.8,7.9,2.9%
YPL199C,0.0015,0.978,474.1,7.9,2.4%
YLR274W,0.0015,0.995,474.1,7.9,0.4%
YLR229C,0.0015,0.996,474.2,7.9,0.3%
YOR056C,0.0015,0.998,474.2,7.9,0.1%
YKL190W,0.0015,0.997,474.2,7.9,0.2%
YOL135C,0.0015,0.999,474.2,7.9,0.4%
YNL152W,0.0015,0.999,474.4,7.9,0.1%
YMR259C,0.0015,0.996,474.5,7.9,0.4%
YBL055C,0.0015,1.000,474.5,7.9,0.0%
YKL122C,0.0015,0.998,474.8,7.9,0.1%
YMR044W,0.0015,0.998,474.8,7.9,0.2%
